coords_xyz,name,ULS_v_x_max,ULS_v_y_max,ULS_m_xD+_max,ULS_m_xD-_max,ULS_m_yD+_max,ULS_m_yD-_max,ULS_Mx,ULS_My,SLS_kar_v_x_max,SLS_kar_v_y_max,SLS_kar_m_xD+_max,SLS_kar_m_xD-_max,SLS_kar_m_yD+_max,SLS_kar_m_yD-_max,SLS_kar_Mx,SLS_kar_My,SLS_freq_v_x_max,SLS_freq_v_y_max,SLS_freq_m_xD+_max,SLS_freq_m_xD-_max,SLS_freq_m_yD+_max,SLS_freq_m_yD-_max,SLS_freq_Mx,SLS_freq_My
"('8', '-2.5', '0')",3-1,-395682.68459717016,31469.979520072335,-453825.8828082751,0.0,-97979.0537263121,0.0,453825.8828082751,0.0,-359711.5239379231,28609.07168437604,-412568.975815324,0.0,-89071.86517299483,0.0,412568.975815324,0.0,-300082.03061711806,23204.294681086416,-347026.27346892195,0.0,-74727.26339891042,0.0,347026.27346892195,0.0
"('0', '-3.5', '0')",3-1,530673.9199745914,-20133.989794638797,-477841.51251458033,0.0,-95047.47546091936,0.0,477841.51251458033,0.0,482430.82620252896,-18303.62668931484,-434401.36600871314,0.0,-86406.79408338785,0.0,434401.36600871314,0.0,399593.1200072288,-14109.70818929188,-365276.8371179921,0.0,-72681.3427499993,0.0,365276.8371179921,0.0
"('1', '-3.5', '0')",3-1,327852.9225453781,-22790.077571588798,-175757.8701811691,0.0,-28000.865962836535,10493.591629551507,175757.8701811691,10493.591629551507,298048.1051797755,-20718.251888751984,-159779.87866550198,0.0,-25455.33217302013,9539.628547371853,159779.87866550198,9539.628547371853,248555.13392324364,-16437.078926156355,-134059.76952043947,0.0,-21670.911130889024,6678.222281087162,134059.76952043947,6678.222281087162
"('2', '-3.5', '0')",3-1,232738.97025528504,-30371.04572817464,-9301.35417088902,125299.00447682946,-7332.524438780016,75006.6981288214,125299.00447682946,75006.6981288214,211580.8776184302,-27610.040978387337,-8455.776335716002,113908.18348200686,-6665.931163501666,68187.9059406647,113908.18348200686,68187.9059406647,175937.58794606096,-22275.934451232108,-4880.707802948693,93702.29027108884,-4429.728876674977,55567.78035621293,93702.29027108884,55567.78035621293
"('3', '-3.5', '0')",3-1,152896.9236816514,-32509.608522093044,0.0,241468.89359480632,-2199.07989673478,112304.05833399863,241468.89359480632,112304.05833399863,138997.2004108003,-29554.18893673777,0.0,219517.1714099904,-1999.1634991554613,102094.59632194588,219517.1714099904,102094.59632194588,114524.1034320106,-24006.87752345631,0.0,183009.0649221028,-64.00622184573709,83626.97479391779,183009.0649221028,83626.97479391779
"('4', '-3.5', '0')",3-1,-86245.17835269235,-34272.27343437326,0.0,271444.9215267041,-1209.6531729124274,122481.15191394348,271444.9215267041,122481.15191394348,-78404.70589398044,-31156.611551588263,0.0,246768.1053325573,-1099.684678812638,111346.49937666446,246768.1053325573,111346.49937666446,-62724.05468781205,-25348.943550584296,0.0,206196.72599726004,0.0,91146.55766075301,206196.72599726004,91146.55766075301
"('5', '-3.5', '0')",3-1,-157001.61553113433,-32944.31003558452,0.0,239765.42706898449,-2231.5989848484755,111054.15958122889,239765.42706898449,111054.15958122889,-142728.7383749059,-29949.37212225556,0.0,217968.5655109902,-2028.726305890792,100958.32475314688,217968.5655109902,100958.32475314688,-117509.39346696324,-24321.97411477913,0.0,181769.71193740895,-88.02879027343174,82719.31974286423,181769.71193740895,82719.31974286423
"('6', '-3.5', '0')",3-1,-235693.8031640456,-30557.341588163246,-10856.5894508968,123902.09167934216,-7402.764638547533,74947.8133541715,123902.09167934216,74947.8133541715,-214267.08929544504,-27779.400847433477,-9869.626559624152,112638.2627845432,-6729.785889179029,68134.37432850688,112638.2627845432,68134.37432850688,-178085.7006805396,-22410.380137788976,-5973.12109275648,92685.15875533507,-4480.434302955149,55525.63455880615,92685.15875533507,55525.63455880615
"('7', '-3.5', '0')",3-1,-329274.11717007624,-26096.308490900185,-178068.89585144556,0.0,-28076.246209542714,10733.017403357324,178068.89585144556,10733.017403357324,-299340.1002651341,-23723.916295707226,-161880.8110474896,0.0,-25523.85965212477,9757.288337023128,161880.8110474896,9757.288337023128,-249587.75686219684,-18842.420419674883,-135739.2793872626,0.0,-21551.811686677007,6862.170347483766,135739.2793872626,6862.170347483766
"('8', '-3.5', '0')",3-1,-559090.917201113,-20330.787808180667,-477265.03966833325,0.0,-95226.8296068709,0.0,477265.03966833325,0.0,-508264.4594848924,-18482.5339704752,-433877.29979621107,0.0,-86569.84330344618,0.0,433877.29979621107,0.0,-420259.6160975776,-14254.719305480416,-364855.26261767326,0.0,-72810.98452041925,0.0,364855.26261767326,0.0
